# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	202	2252	-						24423082	BMR1_01G04286	2051		partial;old_locus_tag=BBM_I00003
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	202	2252	-	XM_021481484.1		XP_021337228.1	Vesa-like		24423082	BMR1_01G04286	1902	1902	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	202	2252	-	XP_021337228.1		XM_021481484.1	Vesa-like		24423082	BMR1_01G04286	1902	633	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	4018	4368	-						24423083	BMR1_01G00004	351		partial;old_locus_tag=BBM_I00004
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	4018	4368	-	XM_012791631.1		XP_012647085.1	BMN1 family, Pseudo gene		24423083	BMR1_01G00004	351	351	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	4018	4368	-	XP_012647085.1		XM_012791631.1	BMN1 family, Pseudo gene		24423083	BMR1_01G00004	351	116	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	4700	6016	-						24423084	BMR1_01G00005	1317		partial;old_locus_tag=BBM_I00005
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	4700	6016	-	XM_012791632.1		XP_012647086.1	Tpr related protein, putative		24423084	BMR1_01G00005	1317	1317	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	4700	6016	-	XP_012647086.1		XM_012791632.1	Tpr related protein, putative		24423084	BMR1_01G00005	1317	438	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	7385	7660	+						24423085	BMR1_01G00010	276		partial;old_locus_tag=BBM_I00010
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	7385	7660	+	XM_021482859.1		XP_021337229.1			24423085	BMR1_01G00010	276	276	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	7385	7660	+	XP_021337229.1		XM_021482859.1	BMN2 family, Pseudo gene		24423085	BMR1_01G00010	276	91	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	7937	8572	-						24423086	BMR1_01G00015	636		partial;old_locus_tag=BBM_I00015
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	7937	8572	-	XM_012791633.1		XP_012647087.1	LGT, TPK, Thiamine pyrophosphokinase		24423086	BMR1_01G00015	636	636	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	7937	8572	-	XP_012647087.1		XM_012791633.1	LGT, TPK, Thiamine pyrophosphokinase		24423086	BMR1_01G00015	636	211	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	9010	10008	+						24423087	BMR1_01G00020	999		partial;old_locus_tag=BBM_I00020
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	9010	10008	+	XM_012791634.1		XP_012647088.1	LGT, LDH, L-lactate dehydrogenase		24423087	BMR1_01G00020	999	999	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	9010	10008	+	XP_012647088.1		XM_012791634.1	LGT, LDH, L-lactate dehydrogenase		24423087	BMR1_01G00020	999	332	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	10345	10672	-						24423088	BMR1_01G00025	328		partial;old_locus_tag=BBM_I00025
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	10345	10672	-	XM_012791635.1		XP_012647089.1	small ubiquitin-related modifier		24423088	BMR1_01G00025	288	288	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	10345	10672	-	XP_012647089.1		XM_012791635.1	small ubiquitin-related modifier		24423088	BMR1_01G00025	288	95	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	10748	14332	-						24423090	BMR1_01G00026	3585		partial;old_locus_tag=BBM_I00035
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	10748	14332	-	XM_021483073.1		XP_021337230.1	hypothetical protein		24423090	BMR1_01G00026	3564	3564	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	10748	14332	-	XP_021337230.1		XM_021483073.1	hypothetical protein		24423090	BMR1_01G00026	3564	1187	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	14557	15444	+						24423091	BMR1_01G00040	888		partial;old_locus_tag=BBM_I00040
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	14557	15444	+	XM_021483117.1		XP_021337231.1	hypothetical protein		24423091	BMR1_01G00040	867	867	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	14557	15444	+	XP_021337231.1		XM_021483117.1	hypothetical protein		24423091	BMR1_01G00040	867	288	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	16543	17715	+						24423092	BMR1_01G00045	1173		partial;old_locus_tag=BBM_I00045
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	16543	17715	+	XM_021481485.1		XP_021337232.1	TBC domain containing protein		24423092	BMR1_01G00045	1008	1008	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	16543	17715	+	XP_021337232.1		XM_021481485.1	TBC domain containing protein		24423092	BMR1_01G00045	1008	335	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	17781	19654	-						24423093	BMR1_01G00050	1874		partial;old_locus_tag=BBM_I00050
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	17781	19654	-	XM_021481537.1		XP_021337233.1	Thioredoxin-like		24423093	BMR1_01G00050	1740	1740	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	17781	19654	-	XP_021337233.1		XM_021481537.1	Thioredoxin-like		24423093	BMR1_01G00050	1740	579	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	19712	21471	+						24423094	BMR1_01G00055	1760		partial;old_locus_tag=BBM_I00055
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	19712	21471	+	XM_021481588.1		XP_021337234.1	hypothetical protein		24423094	BMR1_01G00055	1680	1680	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	19712	21471	+	XP_021337234.1		XM_021481588.1	hypothetical protein		24423094	BMR1_01G00055	1680	559	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	21538	21974	-						24423095	BMR1_01G00070	437		partial;old_locus_tag=BBM_I00070
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	21538	21974	-	XM_012791642.1		XP_012647096.1	conserved protein, unknown function		24423095	BMR1_01G00070	375	375	partial
CDS	with_protein	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	21538	21974	-	XP_012647096.1		XM_012791642.1	conserved protein, unknown function		24423095	BMR1_01G00070	375	124	
gene	protein_coding	GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	22251	22653	-						24423096	BMR1_01G00075	403		partial;old_locus_tag=BBM_I00075
mRNA		GCF_000691945.2	Primary Assembly	chromosome	I	NC_027205.1	22251	22653	-	XM_021481706.1		XP_021337235.1	NOP15, nucleolar protein 15		24423096	BMR1_01G00075	363	363	partial
