# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	1304	3306	-						39877427	BXIN_0001	2003		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	1304	3306	-	XM_029013949.1		XP_028870246.1	uncharacterized protein		39877427	BXIN_0001	1923	1923	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	1304	3306	-	XP_028870246.1		XM_029013949.1	uncharacterized protein		39877427	BXIN_0001	1923	640	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	3542	4264	+						39877428	BXIN_0002	723		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	3542	4264	+	XM_029013950.1		XP_028870245.1	uncharacterized protein		39877428	BXIN_0002	639	639	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	3542	4264	+	XP_028870245.1		XM_029013950.1	uncharacterized protein		39877428	BXIN_0002	639	212	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	7993	8745	-						39877429	BXIN_0003	753		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	7993	8745	-	XM_029013951.1		XP_028870244.1	uncharacterized protein		39877429	BXIN_0003	753	753	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	7993	8745	-	XP_028870244.1		XM_029013951.1	uncharacterized protein		39877429	BXIN_0003	753	250	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	9083	9769	+						39877430	BXIN_0004	687		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	9083	9769	+	XM_029013952.1		XP_028870250.1	uncharacterized protein		39877430	BXIN_0004	522	522	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	9083	9769	+	XP_028870250.1		XM_029013952.1	uncharacterized protein		39877430	BXIN_0004	522	173	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	9892	17937	+						39877431	BXIN_0005	8046		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	9892	17937	+	XM_029013953.1		XP_028870249.1	Small subunit processome component 20 -like protein		39877431	BXIN_0005	7821	7821	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	9892	17937	+	XP_028870249.1		XM_029013953.1	Small subunit processome component 20 -like protein		39877431	BXIN_0005	7821	2606	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	18210	19689	-						39877432	BXIN_0006	1480		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	18210	19689	-	XM_029013954.1		XP_028870248.1	General transcription factor 3C polypeptide 5		39877432	BXIN_0006	1212	1212	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	18210	19689	-	XP_028870248.1		XM_029013954.1	General transcription factor 3C polypeptide 5		39877432	BXIN_0006	1212	403	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	20078	40586	+						39877433	BXIN_0007	20509		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	20078	40586	+	XM_029013955.1		XP_028870247.1	Uncharacterized protein		39877433	BXIN_0007	20106	20106	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	20078	40586	+	XP_028870247.1		XM_029013955.1	Uncharacterized protein		39877433	BXIN_0007	20106	6701	
gene	tRNA	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	40618	40689	+						39880531	BXIN_3260	72		partial
tRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	40618	40689	+				tRNA-Trp		39880531	BXIN_3260	72		partial
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	40789	41646	+						39877434	BXIN_0008	858		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	40789	41646	+	XM_029013956.1		XP_028870268.1	putative U2 small nuclear ribonucleoprotein A'		39877434	BXIN_0008	666	666	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	40789	41646	+	XP_028870268.1		XM_029013956.1	putative U2 small nuclear ribonucleoprotein A'		39877434	BXIN_0008	666	221	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	41895	43541	+						39877435	BXIN_0009	1647		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	41895	43541	+	XM_029013957.1		XP_028870265.1	uncharacterized protein		39877435	BXIN_0009	1647	1647	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	41895	43541	+	XP_028870265.1		XM_029013957.1	uncharacterized protein		39877435	BXIN_0009	1647	548	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	43593	46613	-						39877436	BXIN_0010	3021		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	43593	46613	-	XM_029013958.1		XP_028870085.1	uncharacterized protein		39877436	BXIN_0010	3021	3021	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	43593	46613	-	XP_028870085.1		XM_029013958.1	uncharacterized protein		39877436	BXIN_0010	3021	1006	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	48344	53167	+						39877437	BXIN_0011	4824		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	48344	53167	+	XM_029013959.1		XP_028870086.1	uncharacterized protein		39877437	BXIN_0011	4824	4824	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	48344	53167	+	XP_028870086.1		XM_029013959.1	uncharacterized protein		39877437	BXIN_0011	4824	1607	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	53962	57243	+						39877438	BXIN_0012	3282		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	53962	57243	+	XM_029013960.1		XP_028870273.1	uncharacterized protein		39877438	BXIN_0012	2427	2427	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	53962	57243	+	XP_028870273.1		XM_029013960.1	uncharacterized protein		39877438	BXIN_0012	2427	808	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	57271	59318	-						39877439	BXIN_0013	2048		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	57271	59318	-	XM_029013961.1		XP_028870274.1	Ubiquitin-fold modifier-conjugating enzyme 1		39877439	BXIN_0013	1767	1767	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	57271	59318	-	XP_028870274.1		XM_029013961.1	Ubiquitin-fold modifier-conjugating enzyme 1		39877439	BXIN_0013	1767	588	
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	59411	65006	-					prfA	39877440	BXIN_0014	5596		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	59411	65006	-	XM_029013962.1		XP_028870269.1	Peptide chain release factor 1	prfA	39877440	BXIN_0014	5055	5055	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	59411	65006	-	XP_028870269.1		XM_029013962.1	Peptide chain release factor 1	prfA	39877440	BXIN_0014	5055	1684	
gene	tRNA	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	65721	65794	+						39880530	BXIN_3259	74		partial
tRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	65721	65794	+				tRNA-Thr		39880530	BXIN_3259	74		partial
gene	protein_coding	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	66046	70390	+						39877441	BXIN_0015	4345		partial
mRNA		GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	66046	70390	+	XM_029013963.1		XP_028870270.1	uncharacterized protein		39877441	BXIN_0015	4062	4062	partial
CDS	with_protein	GCF_002095265.1	Primary Assembly	unplaced scaffold		NW_021639436.1	66046	70390	+	XP_028870270.1		XM_029013963.1	uncharacterized protein		39877441	BXIN_0015	4062	1353	
