# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	3227	4078	-						39872278	BOVATA_000010	852		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	3227	4078	-	XM_029008918.1		XP_028864751.1	uncharacterized protein		39872278	BOVATA_000010	852	852	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	3227	4078	-	XP_028864751.1		XM_029008918.1	uncharacterized protein		39872278	BOVATA_000010	852	283	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	5995	7509	-						39872279	BOVATA_000020	1515		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	5995	7509	-	XM_029008919.1		XP_028864752.1	ribosome binding protein		39872279	BOVATA_000020	1515	1515	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	5995	7509	-	XP_028864752.1		XM_029008919.1	ribosome binding protein		39872279	BOVATA_000020	1515	504	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	7764	13014	-						39872280	BOVATA_000030	5251		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	7764	13014	-	XM_029008920.1		XP_028864753.1	ribosome binding protein		39872280	BOVATA_000030	5220	5220	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	7764	13014	-	XP_028864753.1		XM_029008920.1	ribosome binding protein		39872280	BOVATA_000030	5220	1739	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	14495	16064	-						39872281	BOVATA_000040	1570		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	14495	16064	-	XM_029008921.1		XP_028864754.1	major facilitator superfamily member protein		39872281	BOVATA_000040	1533	1533	partial
CDS	with_protein	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	14495	16064	-	XP_028864754.1		XM_029008921.1	major facilitator superfamily member protein		39872281	BOVATA_000040	1533	510	
gene	protein_coding	GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	18539	19605	-						39872282	BOVATA_000050	1067		partial
mRNA		GCF_002897235.1	Primary Assembly	unplaced scaffold		NW_021638328.1	18539	19605	-	XM_029008922.1		XP_028864755.1	ubiquinol-cytochrome C iron-sulfur subunit		39872282	BOVATA_000050	957	957	partial
